0,0,0,0,0,0,0,0,0,,,,,,,
0,0,0,0,0,0,0,0,0,,,,,,,
0,0,0,0,0,0,0,0,0,,,,,,,
0,0,0,0,0,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,WC1,WC2,WC3,WC4,WC5,WC6,WC7,WC8,WC9
,,,,,,LA1,0.375,0.38125,0.35625,0.30625,0.39375,0.35625,0.38125,0.34375,0.4
,,,,,,LA2,0.35,0.38125,0.35625,0.36875,0.41875,0.3625,0.3375,0.3375,0.38125
,,,,,,LA3,0.30625,0.39375,0.3625,0.375,0.375,0.34375,0.3875,0.36875,0.375
,,,,,,LA4,0.3875,0.40625,0.3625,0.41875,0.36875,0.34375,0.38125,0.35,0.39375
